Name,Email,Year,Gender,Ethnicity,Major,Courses
Crystal Matthews,crystalmatthews@stanford.edu,2021,female,American Indian or Alaskan Native,Chemical Engineering,"['CHEMENG 170', 'CHEMENG 190H', 'CHEMENG 191H', 'CHEMENG 320', 'CHEMENG 35N', 'CHEMENG 450', 'CHEMENG 501', 'CHEMENG 518']"
James Jones,jamesjones@stanford.edu,2018,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 191', 'CS 369', 'CS 468', 'CS 49N', 'CS 107']"
Sean Beaudreault,seanbeaudreault@stanford.edu,2020,male,White,Mechanical Engineering,"['ME 104S', 'ME 110B', 'ME 17', 'ME 182', 'ME 218A', 'ME 218C', 'ME 300C', 'ME 316C']"
Charles Free,charlesfree@stanford.edu,2018,male,Black or African American,Chemical Engineering,"['CHEMENG 150', 'CHEMENG 25B', 'CHEMENG 283', 'CHEMENG 355', 'CHEMENG 470', 'CHEMENG 505', 'CHEMENG 600', 'CHEMENG 80Q']"
Gary Collier,garycollier@stanford.edu,2021,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 140E', 'CS 161', 'CS 273A', 'CS 393', 'CS 106B', 'CS 107']"
Ella Simmons,ellasimmons@stanford.edu,2019,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 231A', 'CS 476A', 'CS 106B', 'CS 107']"
Dovie Parker,dovieparker@stanford.edu,2020,female,Other,Civil and Environmental Engineering,"['CEE 124Z', 'CEE 126X', 'CEE 131A', 'CEE 199E', 'CEE 247A', 'CEE 32A', 'CEE 374X', 'CEE 80N']"
Javier Gorney,javiergorney@stanford.edu,2018,male,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI 163', 'MATSCI 171', 'MATSCI 174', 'MATSCI 192', 'MATSCI 210', 'MATSCI 230', 'MATSCI 299', 'MATSCI 322']"
Andrew Dunn,andrewdunn@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 241', 'CS 245', 'CS 251', 'CS 369', 'CS 106B', 'CS 107']"
Christine Brown,christinebrown@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Bioengineering,"['BIOE 131', 'BIOE 158', 'BIOE 227', 'BIOE 32Q', 'BIOE 376', 'BIOE 390', 'BIOE 454', 'BIOE 70Q']"
Robert Gutierrez,robertgutierrez@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 106B', 'CS 109', 'CS 191W', 'CS 250', 'CS 328', 'CS 379']"
