Name,Email,Year,Gender,Ethnicity,Major,Courses
Louis Rosenbaum,louisrosenbaum@stanford.edu,2021,male,Other,Aeronautics and Astronautics,"['AA210B', 'AA212', 'AA222', 'AA241X', 'AA284B', 'AA291', 'AA801', 'AA802']"
Paul Washington,paulwashington@stanford.edu,2021,male,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS109', 'CS166', 'CS181W', 'CS194W', 'CS373', 'CS399P']"
Barbara Watkins,barbarawatkins@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS109', 'CS161', 'CS225A', 'CS390D']"
Brian Lamb,brianlamb@stanford.edu,2018,male,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS229', 'CS269O', 'CS295', 'CS390S', 'CS96SI']"
Mary Reyna,maryreyna@stanford.edu,2019,female,Black or African American,Computer Science,"['CS103', 'CS106A', 'CS106AJ', 'CS106B', 'CS109', 'CS146', 'CS148', 'CS390B']"
John Figueroa,johnfigueroa@stanford.edu,2018,male,Black or African American,Mechanical Engineering,"['ME131A', 'ME170A', 'ME245', 'ME267', 'ME319', 'ME320', 'ME363', 'ME370A']"
Timothy Stenson,timothystenson@stanford.edu,2019,male,White,Management Science and Engineering,"['MS&E112', 'MS&E185', 'MS&E188', 'MS&E208D', 'MS&E250A', 'MS&E263', 'MS&E276', 'MS&E317']"
Melissa Simmons,melissasimmons@stanford.edu,2019,female,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI196', 'MATSCI200', 'MATSCI209', 'MATSCI316', 'MATSCI323', 'MATSCI347', 'MATSCI382', 'MATSCI801']"
Daisy Zable,daisyzable@stanford.edu,2019,female,Asian,Chemical Engineering,"['CHEMENG130', 'CHEMENG190H', 'CHEMENG25B', 'CHEMENG345', 'CHEMENG451', 'CHEMENG500', 'CHEMENG600', 'CHEMENG60Q']"
Fernando Green,fernandogreen@stanford.edu,2021,male,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI151', 'MATSCI192', 'MATSCI199', 'MATSCI204', 'MATSCI299', 'MATSCI300', 'MATSCI343', 'MATSCI353']"
Wayne Row,waynerow@stanford.edu,2019,male,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS161', 'CS196', 'CS199', 'CS265']"
Thelma Bryan,thelmabryan@stanford.edu,2020,female,Black or African American,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS161', 'CS193C', 'CS228', 'CS345S']"
Garry Pangelinan,garrypangelinan@stanford.edu,2018,male,Other,Management Science and Engineering,"['MS&E111X', 'MS&E112', 'MS&E256A', 'MS&E267', 'MS&E284', 'MS&E391', 'MS&E446A', 'MS&E493']"
Geraldine Mcwaters,geraldinemcwaters@stanford.edu,2021,female,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA236A', 'AA241A', 'AA244B', 'AA252', 'AA274', 'AA284B', 'AA295', 'AA801']"
David Bedford,davidbedford@stanford.edu,2019,male,Other,Aeronautics and Astronautics,"['AA109Q', 'AA210A', 'AA214A', 'AA244A', 'AA272C', 'AA290', 'AA291', 'AA295']"
John Campbell,johncampbell@stanford.edu,2020,male,Black or African American,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS145', 'CS161', 'CS194H', 'CS428']"
Thomas Brown,thomasbrown@stanford.edu,2020,male,Black or African American,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS269O', 'CS298', 'CS348C', 'CS476B', 'CS56N']"
Margaret Williams,margaretwilliams@stanford.edu,2021,female,American Indian or Alaskan Native,Computer Science,"['CS103', 'CS106A', 'CS144', 'CS155', 'CS161', 'CS181W', 'CS270', 'CS377']"
Judy Rathbone,judyrathbone@stanford.edu,2019,female,Black or African American,Management Science and Engineering,"['MS&E125', 'MS&E130', 'MS&E149', 'MS&E212', 'MS&E241', 'MS&E441', 'MS&E442', 'MS&E449']"
Jennie Byington,jenniebyington@stanford.edu,2018,female,Asian,Computer Science,"['CS103', 'CS106A', 'CS109', 'CS345S', 'CS395', 'CS448B', 'CS571', 'CS801']"
Alan Marquez,alanmarquez@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE130', 'CEE204', 'CEE223A', 'CEE261I', 'CEE274S', 'CEE31', 'CEE345', 'CEE374T']"
Mary Harley,maryharley@stanford.edu,2021,female,Black or African American,Civil and Environmental Engineering,"['CEE102', 'CEE130', 'CEE131A', 'CEE141A', 'CEE199H', 'CEE202', 'CEE275A', 'CEE6']"
Paul Jones,pauljones@stanford.edu,2021,male,Black or African American,Civil and Environmental Engineering,"['CEE129S', 'CEE132H', 'CEE133G', 'CEE226E', 'CEE235', 'CEE281', 'CEE363A', 'CEE70Q']"
Tamika Layne,tamikalayne@stanford.edu,2019,female,American Indian or Alaskan Native,Bioengineering,"['BIOE196', 'BIOE227', 'BIOE241', 'BIOE313', 'BIOE32Q', 'BIOE355', 'BIOE371', 'BIOE393']"
Helen Haskell,helenhaskell@stanford.edu,2019,female,American Indian or Alaskan Native,Civil and Environmental Engineering,"['CEE101S', 'CEE102', 'CEE155', 'CEE177L', 'CEE220S', 'CEE273B', 'CEE275K', 'CEE363H']"
Charlene Dominquez,charlenedominquez@stanford.edu,2018,female,White,Computer Science,"['CS103', 'CS105', 'CS106A', 'CS109', 'CS146', 'CS161', 'CS193A', 'CS254']"
Melinda Kimbler,melindakimbler@stanford.edu,2019,female,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA115N', 'AA214A', 'AA229', 'AA241A', 'AA241B', 'AA260', 'AA274', 'AA802']"
Raymond Herring,raymondherring@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME211', 'ME224', 'ME231', 'ME234', 'ME240', 'ME373', 'ME420', 'ME458']"
Eulah Milliken,eulahmilliken@stanford.edu,2019,female,Black or African American,Management Science and Engineering,"['MS&E152', 'MS&E254', 'MS&E263', 'MS&E313', 'MS&E322', 'MS&E336', 'MS&E472', 'MS&E493']"
Christopher Napoli,christophernapoli@stanford.edu,2019,male,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA108N', 'AA109Q', 'AA118N', 'AA190', 'AA214C', 'AA236B', 'AA244B', 'AA257']"
Anthony Mons,anthonymons@stanford.edu,2020,male,Asian,Chemical Engineering,"['CHEMENG150', 'CHEMENG160', 'CHEMENG162', 'CHEMENG170', 'CHEMENG464', 'CHEMENG469', 'CHEMENG801', 'CHEMENG802']"
Walter Schut,walterschut@stanford.edu,2021,male,Other,Chemical Engineering,"['CHEMENG120B', 'CHEMENG180', 'CHEMENG25B', 'CHEMENG25E', 'CHEMENG262', 'CHEMENG355', 'CHEMENG410', 'CHEMENG503']"
Faith Salley,faithsalley@stanford.edu,2020,female,Asian,Management Science and Engineering,"['MS&E125', 'MS&E140X', 'MS&E152', 'MS&E243', 'MS&E338', 'MS&E352', 'MS&E450', 'MS&E92Q']"
James Pate,jamespate@stanford.edu,2021,male,Other,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS109', 'CS246H', 'CS369H', 'CS547']"
Emily Rusert,emilyrusert@stanford.edu,2020,female,Other,Electrical Engineering,"['EE107', 'EE116', 'EE153', 'EE242', 'EE292L', 'EE309', 'EE320', 'EE369C']"
Isabel Eubanks,isabeleubanks@stanford.edu,2021,female,American Indian or Alaskan Native,Mechanical Engineering,"['ME201', 'ME222', 'ME304', 'ME359A', 'ME362B', 'ME388', 'ME453B', 'ME80']"
Christina Howell,christinahowell@stanford.edu,2021,female,Asian,Materials Science and Engineering,"['MATSCI10SC', 'MATSCI142', 'MATSCI151', 'MATSCI159Q', 'MATSCI192', 'MATSCI204', 'MATSCI251', 'MATSCI400']"
Shantay Lautman,shantaylautman@stanford.edu,2021,female,Black or African American,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS106S', 'CS107', 'CS257', 'CS390P', 'CS390V']"
James Lipham,jameslipham@stanford.edu,2018,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS109', 'CS240', 'CS248', 'CS390C', 'CS82']"
George Wakefield,georgewakefield@stanford.edu,2018,male,Black or African American,Aeronautics and Astronautics,"['AA100', 'AA222', 'AA229', 'AA240B', 'AA273', 'AA279D', 'AA284A', 'AA290']"
David Ribble,davidribble@stanford.edu,2019,male,Black or African American,Chemical Engineering,"['CHEMENG120B', 'CHEMENG12SC', 'CHEMENG142', 'CHEMENG174', 'CHEMENG190', 'CHEMENG450', 'CHEMENG454', 'CHEMENG500']"
Son Hatley,sonhatley@stanford.edu,2018,male,Other,Materials Science and Engineering,"['MATSCI145', 'MATSCI173', 'MATSCI194', 'MATSCI199', 'MATSCI201', 'MATSCI299', 'MATSCI347', 'MATSCI400']"
Daniel Anderson,danielanderson@stanford.edu,2019,male,Other,Management Science and Engineering,"['MS&E147', 'MS&E211X', 'MS&E226', 'MS&E251', 'MS&E330', 'MS&E338', 'MS&E449', 'MS&E454']"
Amy Lanier,amylanier@stanford.edu,2018,female,Black or African American,Chemical Engineering,"['CHEMENG162', 'CHEMENG180', 'CHEMENG240', 'CHEMENG25B', 'CHEMENG274', 'CHEMENG281', 'CHEMENG464', 'CHEMENG519']"
Elaine Juarez,elainejuarez@stanford.edu,2019,female,Asian,Electrical Engineering,"['EE103', 'EE124', 'EE134', 'EE168', 'EE179', 'EE285', 'EE384A', 'EE65']"
Patricia Rutledge,patriciarutledge@stanford.edu,2021,female,Black or African American,Mechanical Engineering,"['ME101', 'ME115B', 'ME120', 'ME199A', 'ME26N', 'ME316C', 'ME388', 'ME451C']"
Lorraine Warnick,lorrainewarnick@stanford.edu,2018,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS103', 'CS106A', 'CS106B', 'CS107', 'CS161', 'CS199P', 'CS263', 'CS359']"
