Name,Email,Year,Gender,Ethnicity,Major,Courses
Donna Lannon,donnalannon@stanford.edu,2018,female,Other,Electrical Engineering,"['EE 195', 'EE 236AL', 'EE 303', 'EE 308', 'EE 347', 'EE 372', 'EE 390', 'EE 402A']"
Marshall Pfundt,marshallpfundt@stanford.edu,2018,male,American Indian or Alaskan Native,Electrical Engineering,"['EE 116', 'EE 124', 'EE 242', 'EE 254', 'EE 267', 'EE 293A', 'EE 332', 'EE 385A']"
Ann San,annsan@stanford.edu,2020,female,Other,Aeronautics and Astronautics,"['AA 215B', 'AA 240A', 'AA 257', 'AA 272D', 'AA 279D', 'AA 283', 'AA 291', 'AA 301']"
Thelma Worthington,thelmaworthington@stanford.edu,2020,female,White,Computer Science,"['CS 106A', 'CS 106B', 'CS 183F', 'CS 204', 'CS 205B', 'CS 244', 'CS 393', 'CS 522']"
Cindy Thill,cindythill@stanford.edu,2019,female,Black or African American,Civil and Environmental Engineering,"['CEE 17SC', 'CEE 198', 'CEE 217', 'CEE 242', 'CEE 262A', 'CEE 301', 'CEE 374C', 'CEE 83']"
Gary Marchant,garymarchant@stanford.edu,2020,male,Other,Materials Science and Engineering,"['MATSCI 163', 'MATSCI 164', 'MATSCI 206', 'MATSCI 299', 'MATSCI 312', 'MATSCI 322', 'MATSCI 347', 'MATSCI 399']"
Maxine Watson,maxinewatson@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Materials Science and Engineering,"['MATSCI 100', 'MATSCI 143', 'MATSCI 144', 'MATSCI 152', 'MATSCI 160', 'MATSCI 171', 'MATSCI 200', 'MATSCI 326']"
Teri Herbert,teriherbert@stanford.edu,2018,female,American Indian or Alaskan Native,Management Science and Engineering,"['MS&E 178', 'MS&E 241', 'MS&E 245A', 'MS&E 245B', 'MS&E 256', 'MS&E 262', 'MS&E 275', 'MS&E 292']"
Sarah Matthews,sarahmatthews@stanford.edu,2021,female,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI 100', 'MATSCI 10SC', 'MATSCI 174', 'MATSCI 201', 'MATSCI 206', 'MATSCI 251', 'MATSCI 316', 'MATSCI 347']"
Heather Hall,heatherhall@stanford.edu,2019,female,Black or African American,Computer Science,"['CS 102', 'CS 106A', 'CS 106B', 'CS 181', 'CS 190', 'CS 309A', 'CS 468', 'CS 499']"
Jose Evans,joseevans@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Materials Science and Engineering,"['MATSCI 165', 'MATSCI 171', 'MATSCI 193', 'MATSCI 204', 'MATSCI 312', 'MATSCI 321', 'MATSCI 353', 'MATSCI 380']"
Fidelia Marquis,fideliamarquis@stanford.edu,2019,female,Black or African American,Bioengineering,"['BIOE 140', 'BIOE 191', 'BIOE 224', 'BIOE 300A', 'BIOE 301D', 'BIOE 313', 'BIOE 370', 'BIOE 375A']"
Lee Johnson,leejohnson@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 120B', 'CHEMENG 140', 'CHEMENG 170', 'CHEMENG 310', 'CHEMENG 482', 'CHEMENG 600', 'CHEMENG 70Q']"
Casey Diaz,caseydiaz@stanford.edu,2021,female,Asian,Civil and Environmental Engineering,"['CEE 107S', 'CEE 112D', 'CEE 199S', 'CEE 206', 'CEE 221A', 'CEE 32F', 'CEE 398', 'CEE 6']"
William Johnson,williamjohnson@stanford.edu,2021,male,Other,Aeronautics and Astronautics,"['AA 109Q', 'AA 120Q', 'AA 206', 'AA 214C', 'AA 215B', 'AA 257', 'AA 279A', 'AA 283']"
